title,date,body
像抓脱贫攻坚那样抓乡村振兴,2020-12-08,"
	"
和音：彰显担当 凝聚合力,2020-11-23,"
	中国以鲜明的主张和切实的行动证明，中国将始终坚持做世界和平的建设者、全球发展的贡献者、国际秩序的维护者
	 
	11月21日，国家主席习近平在北京以视频方式出席二十国集团领导人第十五次峰会第一阶段会议并发表重要讲话，强调二十国集团应该遵循共商共建共享原则，坚持多边主义、开放包容、互利合作、与时俱进，在后疫情时代国际秩序和全球治理方面发挥更大引领作用。中国愿同各国相互尊重、平等互利、和平共处、共同发展，共同推动构建人类命运共同体。国际舆论评价，习近平主席提出的一系列重要倡议契合当前国际社会关切，具有重大现实意义，展现了中国作为负责任大国的担当。
	二十国集团是在危机应对中应运而生的合作平台。2008年国际金融危机发生后，二十国集团各成员秉持同舟共济的伙伴精神，把正在滑向悬崖的世界经济拉回到稳定和复苏轨道。今年，新冠肺炎疫情全球大流行使得超过百万人失去生命，世界经济陷入衰退，社会民生遭遇重创，影响超出2008年国际金融危机。疫情发生后，二十国集团迅速行动起来，领导人特别峰会提出，加强防控合作，推动药物和疫苗研发，维护经济金融稳定，确保产业链、供应链畅通，缓解发展中国家债务负担。二十国集团在全球战疫中再次发挥了不可替代的重要作用。
	人类命运与共，同舟共济的伙伴精神在关键考验面前更见弥足珍贵。当前，国际格局加速演变，单边主义、保护主义上升，全球产业链、供应链受到冲击。在全球范围内，抗疫情、稳经济、保民生之路依然任重道远，治理赤字、信任赤字、发展赤字、和平赤字仍在扩大。后疫情时代的国际秩序和全球治理何去何从，二十国集团将发挥怎样的作用，如何切实从危机应对机制向长效治理机制转型，从侧重短期政策向短中长期政策并重转型，国际社会倍加关注。
	习近平主席指出，二十国集团合作应对疫情带来的挑战应在以下几个方面进一步发力：构筑全球抗疫防火墙、畅通世界经济运行脉络、发挥数字经济的推动作用、实现更加包容的发展。习近平主席从构建人类命运共同体高度，把握世界大势和时代潮流，为二十国集团在后疫情时代国际秩序和全球治理方面发挥更大引领作用指明方向：加强以联合国为核心的国际体系，完善经济全球化的治理架构，推动数字经济健康发展，提高应对全球性挑战的能力。习近平主席强调：“我们应该遵循共商共建共享原则，坚持多边主义，坚持开放包容，坚持互利合作，坚持与时俱进。”国际社会普遍认为，习近平主席提出的一系列重要倡议和主张，为当前各国进一步防控疫情、稳定和恢复经济提供中国智慧、中国方案，有助于各方凝聚合力，共同应对挑战。
	知行合一，策之以道。中国积极支持并参与新冠肺炎疫苗国际合作，已经加入“新冠肺炎疫苗实施计划”，并将履行承诺向其他发展中国家提供帮助和支持，努力让疫苗成为各国人民用得上、用得起的公共产品；中方提出建立基于核酸检测结果、以国际通行二维码为形式的健康码国际互认机制；中方呼吁为数字经济营造有利发展环境，加强数据安全合作，加强数字基础设施建设，为各国科技企业创造公平竞争环境；中方克服困难，全面落实二十国集团缓债倡议，并支持延长缓债倡议期限的决定；中方倡议在2025年再次召开全球妇女峰会，支持联合国明年举办世界粮食峰会，倡议适时召开国际粮食减损大会……中国以鲜明的主张和切实的行动证明，中国将始终坚持做世界和平的建设者、全球发展的贡献者、国际秩序的维护者。
	全球蔓延的疫情是对全球治理的重大考验，二十国集团应当继续担起使命，在推动全球团结抗疫和世界经济复苏方面作出重要贡献。合作的阳光终将驱散疫情的阴霾。展望后疫情时代，人类命运共同体理念必将更加深入人心。各方携手努力，建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界，这是各国人民期望的美好未来。
	"
人民日报评论员：维护和促进社会公平正义,2020-11-23,"
	法治不仅要求完备的法律体系、完善的执法机制、普遍的法律遵守，更要求公平正义得到维护和实现。在中央全面依法治国工作会议上，习近平总书记深刻指出公平正义是司法的灵魂和生命，强调要深化司法责任制综合配套改革，加强司法制约监督，健全社会公平正义法治保障制度，努力让人民群众在每一个司法案件中感受到公平正义。
	公平正义是我们党追求的一个非常崇高的价值。党的十八大以来，习近平总书记高度重视维护和促进社会公平正义，提出“公正是法治的生命线”，明确“不论处在什么发展水平上，制度都是社会公平正义的重要保证”，强调“司法是维护社会公平正义的最后一道防线”，要求“努力让人民群众在每一起案件办理、每一件事情处理中都能感受到公平正义”。坚持以习近平法治思想为指导，推进以审判为中心的刑事诉讼制度改革，抓好司法责任制综合配套改革，依法纠正一批重大冤假错案件，扎实推进平安中国建设，深入开展扫黑除恶专项斗争，良法善治成为维护和促进社会公平正义的根基，人民群众的获得感、满意度显著提升。
	全面依法治国最广泛、最深厚的基础是人民，必须坚持以人民为中心，坚持为了人民、依靠人民。习近平总书记指出：“推进全面依法治国，根本目的是依法保障人民权益。”随着我国经济社会持续发展，人民群众对民主、法治、公平、正义、安全、环境等方面的要求日益增长。要把体现人民利益、反映人民愿望、维护人民权益、增进人民福祉落实到全面依法治国各领域全过程，积极回应人民群众新要求新期待，系统研究谋划和解决法治领域人民群众反映强烈的突出问题，不断增强人民群众获得感、幸福感、安全感，用法治保障人民安居乐业。要把社会公平正义这一法治价值追求贯穿到立法、执法、司法、守法的全过程和各方面，让公平正义的阳光照进人民心田。
	推进全面依法治国，必须紧紧围绕保障和促进社会公平正义来进行。要坚持全面推进科学立法、严格执法、公正司法、全民守法，继续推进法治领域改革，解决好立法、执法、司法、守法等领域的突出矛盾和问题。要用法治给行政权力定规矩、划界限，规范行政决策程序，加快转变政府职能，推进严格规范公正文明执法。要不断深化司法体制改革，着力破解体制性、机制性、保障性障碍，构建开放、动态、透明、便民的阳光司法机制，加快构建规范高效的制约监督体系，坚守公正司法的底线，坚持维护人民权益，不断提高司法公信力。要推动扫黑除恶常态化，坚决打击黑恶势力及其“保护伞”，让城乡更安宁、群众更安乐。要完善预防性法律制度，坚持和发展新时代“枫桥经验”，促进社会和谐稳定。
	“理国要道，在于公平正直。”党的十九届五中全会擘画了我国未来发展蓝图，在提出“十四五”时期经济社会发展必须遵循的原则时明确“促进社会公平，增进民生福祉”的内容，在提出“十四五”时期经济社会发展主要目标时明确“社会主义民主法治更加健全，社会公平正义进一步彰显”的任务。让我们更加紧密地团结在以习近平同志为核心的党中央周围，坚持习近平法治思想在全面依法治国中的指导地位，坚定不移走中国特色社会主义法治道路，在法治轨道上推进国家治理体系和治理能力现代化，奋力夺取全面建设社会主义现代化国家新胜利！
	"
携手创造亚太命运共同体美好未来（和音）,2020-11-22,"
	国家主席习近平20日晚在北京以视频方式出席亚太经合组织第二十七次领导人非正式会议并发表重要讲话强调，我们要以开启亚太经合组织2020年后的合作愿景为新起点，开启亚太合作新阶段，共同构建开放包容、创新增长、互联互通、合作共赢的亚太命运共同体。
	当前，世界和亚太正在经历深刻变革，新冠肺炎疫情加速了这一趋势。亚太合作未来的路怎么走，关乎地区发展，关乎人民福祉，关乎世界未来。铿锵有力的中国声音彰显推动合作共赢的真诚愿望和决心，为亚太地区携手共同发展注入信心和动力。
	大时代需要大格局，大格局需要大智慧。习近平主席深刻阐述构建亚太命运共同体理念内涵，为推动亚太经合组织行稳致远、实现亚太地区共同繁荣指明了方向。继续推进区域经济一体化，早日建成亚太自由贸易区；主动把握时代机遇，以创新打造竞争新优势；继续推进落实亚太经合组织互联互通蓝图，实现亚太地区无缝联接……中国方案始终着眼长远，致力于为亚太经济发展注入持久动能。中方强调，亚太经济合作从来不是零和博弈、你输我赢的政治游戏，而是相互成就、互利共赢的发展平台，各方要深化互信、包容、合作、共赢的亚太伙伴关系，秉持共商共建共享理念，这不仅对于战胜疫情至关重要，而且是不断做大亚太合作蛋糕、实现共同繁荣的重要保障。
	习近平主席出席2014年亚太经合组织工商领导人峰会开幕式并发表主旨演讲时强调：“我们有责任为本地区人民创造和实现亚太梦想。这个梦想，就是坚持亚太大家庭精神和命运共同体意识，顺应和平、发展、合作、共赢的时代潮流，共同致力于亚太繁荣进步；就是继续引领世界发展大势，为人类福祉作出更大贡献；就是让经济更有活力，贸易更加自由，投资更加便利，道路更加通畅，人与人交往更加密切；就是让人民过上更加安宁富足的生活，让孩子们成长得更好、工作得更好、生活得更好。”中方将继续支持亚太经合组织发展，始终不渝扎根亚太、建设亚太、造福亚太，与各方携手构建亚太命运共同体。
	构建亚太命运共同体，中国行动坚定不移。习近平主席宣布中方“积极考虑加入全面与进步跨太平洋伙伴关系协定”，这在有关各方正式签署区域全面经济伙伴关系协定后，进一步提振了全球开放合作的信心。中方还将通过举办包容性贸易和投资研讨会，开展智慧城市案例研究，举办数字减贫研讨会，积极稳妥推进货物“绿色通道”建设等，为破解发展难题贡献中国智慧。中国与地区国家高质量共建“一带一路”，将为亚太互联互通建设搭建更广阔平台，为亚太和世界经济注入更强劲动力。国际社会普遍预期，明年中国将开启全面建设社会主义现代化国家新征程，一定能够与亚太各方实现更大互利共赢。
	“浩渺行无极，扬帆但信风。”亚太经合组织是亚太和全球经济合作的先行者、引领者、开拓者，亚太梦想之路通往人类命运共同体的美好明天。本次会议通过的《2040年亚太经合组织布特拉加亚愿景》承载着实现亚太人民和子孙后代共同繁荣的愿望，只要各方共同朝着开放包容、创新增长、互联互通、合作共赢的方向切实努力，就一定能够共创共享亚太和平繁荣美好未来。
	"
人民日报评论员：中国的对外合作将不断深化，同世界各国实现互利共赢,2020-11-22,"
	“在新发展格局下，中国的对外合作将不断深化，同世界各国实现互利共赢。”在亚太经合组织工商领导人对话会上，习近平主席发表题为《构建新发展格局 实现互利共赢》的主旨演讲，为维护亚太和平稳定、促进发展繁荣贡献了中国方案，为推动世界经济复苏、推进共同开放注入了中国力量。
	在开放中扩大共同利益，在合作中实现机遇共享，中国始终是全球共同开放的重要推动者、世界经济增长的稳定动力源、各国拓展商机的活力大市场、全球治理改革的积极贡献者。中国正在加快构建新发展格局，这决不是封闭的国内循环，而是更加开放的国内国际双循环，既为中国经济发展开辟空间，又为世界经济复苏和增长增添动力。前进道路上，中国将秉持开放、合作、团结、共赢的信念，建设更高水平开放型经济新体制，实施更大范围、更宽领域、更深层次对外开放，敞开大门欢迎各国分享中国发展机遇，更有效率地实现内外市场联通、要素资源共享，依托我国大市场优势，促进国际合作，让中国市场成为世界的市场、共享的市场、大家的市场，开拓合作共赢新局面。
	习近平主席强调：“凡是愿同中国合作的国家、地区、企业，我们都会积极开展合作。”我们将更加积极地参与国际分工，更加有效地融入全球产业链、供应链、价值链，更加主动地扩大对外交流合作。我们将继续高举开放合作大旗，坚持多边主义和共商共建共享原则，推动高质量共建“一带一路”，推进同各国、各地区发展战略和互联互通规划对接，加强政策、规则、标准融通，同各国不断深化基础设施建设、产业、经贸、科技创新、公共卫生、人文等领域务实合作，把“一带一路”打造成合作之路、健康之路、复苏之路、增长之路，加强绿色发展合作，为推动世界共同发展、构建人类命运共同体贡献力量。
	“察势者明，趋势者智。”新冠肺炎疫情全球大流行和世界百年未有之大变局相互影响，但和平与发展的时代主题没有变，各国人民和平发展合作共赢的期待更加强烈。亚太地区要继续领风气之先，坚决维护和平稳定，坚定捍卫多边主义，坚持构建开放型世界经济，毫不动摇支持以世界贸易组织为核心的多边贸易体制，促进自由开放的贸易和投资，引导经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。亚太经济合作从来不是零和博弈、你输我赢的政治游戏，而是相互成就、互利共赢的发展平台。要共同构建开放包容、创新增长、互联互通、合作共赢的亚太命运共同体，深化互信、包容、合作、共赢的亚太伙伴关系，秉持共商共建共享理念，不断提升区域合作水平，做大亚太合作蛋糕，迎接亚太地区共同繁荣未来。各国要树立命运共同体意识，坚持合作共赢理念，把本国利益同各国共同利益结合起来，努力扩大各国共同利益汇合点，创新合作方式，深化合作领域，积极寻求发展利益最大公约数，向构建人类命运共同体目标不断迈进。
	开放合作是历史潮流，互利共赢是人心所向。当前，世界经济发展面临严峻挑战。各国携起手来，风雨同舟、守望相助，在开放中创造机遇，在合作中破解难题，就一定能共创共享亚太和世界更加美好的未来。
	"
人民日报评论员：在法治轨道上推进国家治理体系和治理能力现代化,2020-11-22,"
	法治是治国理政的基本方式，是国家治理体系和治理能力的重要依托。习近平总书记在中央全面依法治国工作会议上深刻指出，只有全面依法治国才能有效保障国家治理体系的系统性、规范性、协调性，才能最大限度凝聚社会共识，强调要坚持在法治轨道上推进国家治理体系和治理能力现代化。
	坚持全面依法治国，是中国特色社会主义国家制度和国家治理体系的显著优势。新中国成立70多年来，我们创造了经济快速发展和社会长期稳定“两大奇迹”，这同不断推动社会主义法治建设有着十分密切的关系。这次应对新冠肺炎疫情，我们坚持在法治轨道上统筹推进疫情防控和经济社会发展，依法维护社会大局稳定，有序推动复工复产，全国疫情防控取得重大战略成果，我国成为疫情发生以来第一个恢复增长的主要经济体。实践充分证明，我国社会主义法治凝聚着我们党治国理政的理论成果和实践经验，是制度之治最基本最稳定最可靠的保障。坚定不移走中国特色社会主义法治道路，更好发挥法治对改革发展稳定的引领、规范、保障作用，着力固根基、扬优势、补短板、强弱项，提升法治促进国家治理体系和治理能力现代化的效能，就一定能推动各方面制度更加成熟、更加定型，逐步实现国家治理制度化、程序化、规范化、法治化。
	“法者，治之端也。”推进全面依法治国，发挥法治在国家治理体系和治理能力现代化中的积极作用，要坚持建设中国特色社会主义法治体系，加快形成完备的法律规范体系、高效的法治实施体系、严密的法治监督体系、有力的法治保障体系，形成完善的党内法规体系。要坚持依法治国、依法执政、依法行政共同推进，法治国家、法治政府、法治社会一体建设，更加注重系统性、整体性、协同性。要坚持全面推进科学立法、严格执法、公正司法、全民守法，继续推进法治领域改革，解决好立法、执法、司法、守法等领域的突出矛盾和问题，努力让人民群众在每一个司法案件中感受到公平正义。
	法治是国家核心竞争力的重要内容。当前，世界百年未有之大变局加速演进，和平与发展仍然是时代主题，但国际环境不稳定性不确定性明显上升。我国不断发展壮大，日益走近世界舞台中央。法治建设的中长期目标，必须统筹考虑国际国内形势、法治建设进程和人民群众法治需求，同推进国家治理体系和治理能力现代化的要求相协同。要坚持统筹推进国内法治和涉外法治，加快涉外法治工作战略布局，协调推进国内治理和国际治理，更好维护国家主权、安全、发展利益。要强化法治思维，运用法治方式，有效应对挑战、防范风险，综合利用立法、执法、司法等手段开展斗争，坚决维护国家主权、尊严和核心利益。要推动全球治理变革，推动构建人类命运共同体。
	法治兴则国兴，法治强则国强。在统筹推进伟大斗争、伟大工程、伟大事业、伟大梦想的实践中，在全面建设社会主义现代化国家新征程上，更加重视法治、厉行法治，更好发挥法治固根本、稳预期、利长远的重要作用，坚持依法应对重大挑战、抵御重大风险、克服重大阻力、解决重大矛盾，不断把社会主义法治优势转化为国家治理效能，我们就一定能全面建成社会主义现代化强国，实现中华民族伟大复兴。
	"
人民日报评论员：中国开放的大门将进一步敞开，同世界各国共享发展机遇,2020-11-21,"
	　　“在新发展格局下，中国开放的大门将进一步敞开，同世界各国共享发展机遇。” 习近平主席在亚太经合组织工商领导人对话会上发表主旨演讲，强调“对外开放是中国的基本国策，任何时候都不会动摇”，重申“中国对外开放的决心坚定不移，对外开放的大门会越开越大”，并郑重宣布中国扩大对外开放的政策措施，充分彰显了以实际行动推动共同发展、实现互利共赢的大国担当，引发国际社会热烈反响。
	　　改革开放40多年来，中国坚持打开国门搞建设，不断扩大对外开放，不仅发展了自己，也造福了世界。今年以来，面对世界经济不稳定性不确定性明显增强，单边主义、保护主义蔓延，中国对外开放非但没有止步，而且推出了一系列扩大开放的政策措施，包括全面实施外商投资法及其实施条例、进一步缩减外商投资准入负面清单、稳步推动金融市场准入、出台海南自由贸易港建设总体方案、强化深圳和浦东的改革开放举措、深化服务贸易创新发展试点等。实践充分证明，过去40多年中国经济发展是在开放条件下取得的，未来中国经济实现高质量发展也必须在更加开放条件下进行。越是面对挑战，我们越是要遵循历史前进逻辑、顺应时代发展潮流、呼应人民群众期待，在更加开放的条件下实现更高质量的发展。
	　　今天的中国早已同世界经济和国际体系深度融合。我们不追求一枝独秀，不搞你输我赢，也不会关起门来封闭运行，将逐步形成以国内大循环为主体、国内国际双循环相互促进的新发展格局，为中国经济发展开辟空间，为世界经济复苏和增长增添动力。正如习近平主席强调的：“我们绝不会走历史回头路，不会谋求‘脱钩’或是搞封闭排他的‘小圈子’。”我们将继续推动贸易和投资自由化便利化，同更多国家商签高标准自由贸易协定，积极参与多双边区域投资贸易合作机制，打造更高水平的开放型经济；完善外商投资准入前国民待遇加负面清单管理制度，依法保护外资企业合法权益，有序扩大服务业对外开放，持续打造市场化、法治化、国际化营商环境；赋予自由贸易试验区更大改革自主权，建设对外开放新高地。与此同时，我们将继续坚定支持多边贸易体制，更加积极地参与全球经济治理体系改革，推动建立更加公平合理的国际经济治理体系。中国的发展是世界的机遇，加快构建新发展格局，坚定不移全面扩大开放，能够为各国提供更多市场机遇、投资机遇、增长机遇，更好造福各国人民。
	　　开放是国家进步的前提，封闭必然导致落后。当今世界，经济全球化潮流不可逆转，任何国家都无法关起门来搞建设。经济全球化遇到一些回头浪，但世界决不会退回到相互封闭、彼此分割的状态，开放合作仍然是历史潮流，互利共赢依然是人心所向。当今时代，任何关起门来搞建设的想法，任何拒人于千里之外的做法，任何搞唯我独尊、赢者通吃的企图，都是逆历史潮流而动的！中国经济是一片大海，世界经济也是一片大海，世界大海大洋都是相通的，任何人企图人为阻碍世界大海大洋相通，都只能是一种不自量力的幻想！我们决不能被逆风和回头浪所阻，要站在历史正确的一边，坚定不移全面扩大开放，推动构建人类命运共同体。各国要守望相助、同舟共济，弘扬伙伴精神，密切政策沟通和协调，全面深化抗疫国际合作，坚持建设开放型世界经济，争取尽早战胜疫情，努力实现世界经济强劲、可持续、平衡、包容增长。
	　　人类正处在一个特殊的历史时期，我们都在同一艘船上。风高浪急之时，我们更要把准方向，掌握好节奏，团结合作，乘风破浪，行稳致远，驶向更加美好的明天。
	"
人民日报评论员：党的领导是推进全面依法治国的根本保证,2020-11-21,"
	“党的领导是推进全面依法治国的根本保证。”在中央全面依法治国工作会议上，习近平总书记强调要坚持党对全面依法治国的领导，深刻指出国际国内环境越是复杂，改革开放和社会主义现代化建设任务越是繁重，越要运用法治思维和法治手段巩固执政地位、改善执政方式、提高执政能力，保证党和国家长治久安。
	万山磅礴，必有主峰。中国共产党是中国特色社会主义事业的领导核心，是最高政治领导力量。坚持和完善党的领导，是党和国家的根本所在、命脉所在，是全国各族人民的利益所在、幸福所在。实现“两个一百年”奋斗目标，我们不知还要爬多少坡、过多少坎、经历多少风风雨雨、克服多少艰难险阻。应对和战胜前进道路上的各种风险和挑战，关键在党。在坚持党的领导这个决定党和国家前途命运的重大原则问题上，全党全国必须保持高度的思想自觉、政治自觉、行动自觉，丝毫不能动摇。
	习近平总书记指出：“全面依法治国是要加强和改善党的领导，健全党领导全面依法治国的制度和工作机制，推进党的领导制度化、法治化，通过法治保障党的路线方针政策有效实施。”我国宪法确认了中国共产党的执政地位，确认了党在国家政权结构中总揽全局、协调各方的核心地位，这是中国特色社会主义最本质的特征，是中国特色社会主义制度的最大优势，是社会主义法治最根本的保证。坚持党的领导是社会主义法治的根本要求，是全面依法治国题中应有之义。宪法是国家的根本法，坚持依法治国首先要坚持依宪治国，坚持依法执政首先要坚持依宪执政。党领导人民制定宪法法律，领导人民实施宪法法律，党自身要在宪法法律范围内活动。坚持依宪治国、依宪执政，就包括坚持宪法确定的中国共产党领导地位不动摇，坚持宪法确定的人民民主专政的国体和人民代表大会制度的政体不动摇。
	人民是决定党和国家前途命运的根本力量，全心全意为人民服务是党的根本宗旨。全面依法治国最广泛、最深厚的基础是人民，必须坚持以人民为中心，坚持为了人民、依靠人民。要把体现人民利益、反映人民愿望、维护人民权益、增进人民福祉落实到全面依法治国各领域全过程。推进全面依法治国，根本目的是依法保障人民权益。要积极回应人民群众新要求新期待，系统研究谋划和解决法治领域人民群众反映强烈的突出问题，不断增强人民群众获得感、幸福感、安全感，用法治保障人民安居乐业。要坚持和完善人民当家作主制度体系，健全社会公平正义法治保障制度，保证人民在党的领导下通过各种途径和形式依法管理国家事务、管理经济和文化事业、管理社会事务，使法律及其实施有效体现人民意志、保障人民权益、激发人民创造力。
	中国特色社会主义法治道路本质上是中国特色社会主义道路在法治领域的具体体现，是建设社会主义法治国家的唯一正确道路。推进全面依法治国，必须坚持中国特色社会主义法治道路，既要立足当前，运用法治思维和法治方式解决经济社会发展面临的深层次问题；又要着眼长远，筑法治之基、行法治之力、积法治之势，促进各方面制度更加成熟更加定型，为党和国家事业发展提供长期性的制度保障。要传承中华优秀传统法律文化，从我国革命、建设、改革的实践中探索适合自己的法治道路，同时借鉴国外法治有益成果，为全面建设社会主义现代化国家、实现中华民族伟大复兴夯实法治基础。
	办好中国的事情，关键在党，关键在人。要坚持建设德才兼备的高素质法治工作队伍，这是推进全面依法治国的一项基础性工作；坚持抓住领导干部这个“关键少数”，这是实现全面依法治国目标任务的关键所在。奋进新时代、开启新征程，坚持习近平法治思想在全面依法治国中的指导地位，坚决贯彻落实党中央关于全面依法治国的重大决策部署，不断提高运用法治思维和法治方式深化改革、推动发展、化解矛盾、维护稳定、应对风险的能力，我们就一定能团结带领人民完成新时代党的历史使命。
	"
人民日报评论员：党的领导是推进全面依法治国的根本保证――论学习贯彻习近平总书记在中央全面依法治国工作会议上重要讲话,2020-11-20,"
	新华社北京11月20日电 人民日报21日评论员文章：
	
	“党的领导是推进全面依法治国的根本保证。”在中央全面依法治国工作会议上，习近平总书记强调要坚持党对全面依法治国的领导，深刻指出国际国内环境越是复杂，改革开放和社会主义现代化建设任务越是繁重，越要运用法治思维和法治手段巩固执政地位、改善执政方式、提高执政能力，保证党和国家长治久安。
	万山磅礴，必有主峰。中国共产党是中国特色社会主义事业的领导核心，是最高政治领导力量。坚持和完善党的领导，是党和国家的根本所在、命脉所在，是全国各族人民的利益所在、幸福所在。实现“两个一百年”奋斗目标，我们不知还要爬多少坡、过多少坎、经历多少风风雨雨、克服多少艰难险阻。应对和战胜前进道路上的各种风险和挑战，关键在党。在坚持党的领导这个决定党和国家前途命运的重大原则问题上，全党全国必须保持高度的思想自觉、政治自觉、行动自觉，丝毫不能动摇。
	习近平总书记指出：“全面依法治国是要加强和改善党的领导，健全党领导全面依法治国的制度和工作机制，推进党的领导制度化、法治化，通过法治保障党的路线方针政策有效实施。”我国宪法确认了中国共产党的执政地位，确认了党在国家政权结构中总揽全局、协调各方的核心地位，这是中国特色社会主义最本质的特征，是中国特色社会主义制度的最大优势，是社会主义法治最根本的保证。坚持党的领导是社会主义法治的根本要求，是全面依法治国题中应有之义。宪法是国家的根本法，坚持依法治国首先要坚持依宪治国，坚持依法执政首先要坚持依宪执政。党领导人民制定宪法法律，领导人民实施宪法法律，党自身要在宪法法律范围内活动。坚持依宪治国、依宪执政，就包括坚持宪法确定的中国共产党领导地位不动摇，坚持宪法确定的人民民主专政的国体和人民代表大会制度的政体不动摇。
	人民是决定党和国家前途命运的根本力量，全心全意为人民服务是党的根本宗旨。全面依法治国最广泛、最深厚的基础是人民，必须坚持以人民为中心，坚持为了人民、依靠人民。要把体现人民利益、反映人民愿望、维护人民权益、增进人民福祉落实到全面依法治国各领域全过程。推进全面依法治国，根本目的是依法保障人民权益。要积极回应人民群众新要求新期待，系统研究谋划和解决法治领域人民群众反映强烈的突出问题，不断增强人民群众获得感、幸福感、安全感，用法治保障人民安居乐业。要坚持和完善人民当家作主制度体系，健全社会公平正义法治保障制度，保证人民在党的领导下通过各种途径和形式依法管理国家事务、管理经济和文化事业、管理社会事务，使法律及其实施有效体现人民意志、保障人民权益、激发人民创造力。
	中国特色社会主义法治道路本质上是中国特色社会主义道路在法治领域的具体体现，是建设社会主义法治国家的唯一正确道路。推进全面依法治国，必须坚持中国特色社会主义法治道路，既要立足当前，运用法治思维和法治方式解决经济社会发展面临的深层次问题；又要着眼长远，筑法治之基、行法治之力、积法治之势，促进各方面制度更加成熟更加定型，为党和国家事业发展提供长期性的制度保障。要传承中华优秀传统法律文化，从我国革命、建设、改革的实践中探索适合自己的法治道路，同时借鉴国外法治有益成果，为全面建设社会主义现代化国家、实现中华民族伟大复兴夯实法治基础。
	办好中国的事情，关键在党，关键在人。要坚持建设德才兼备的高素质法治工作队伍，这是推进全面依法治国的一项基础性工作；坚持抓住领导干部这个“关键少数”，这是实现全面依法治国目标任务的关键所在。奋进新时代、开启新征程，坚持习近平法治思想在全面依法治国中的指导地位，坚决贯彻落实党中央关于全面依法治国的重大决策部署，不断提高运用法治思维和法治方式深化改革、推动发展、化解矛盾、维护稳定、应对风险的能力，我们就一定能团结带领人民完成新时代党的历史使命。"
解放军报评论员：坚定不移走中国特色社会主义法治道路,2020-11-20,"
	道路问题关系全局、决定成败。中国特色社会主义法治道路本质上是中国特色社会主义道路在法治领域的具体体现。
	在中央全面依法治国工作会议上，习主席强调指出，坚定不移走中国特色社会主义法治道路，在法治轨道上推进国家治理体系和治理能力现代化，为全面建设社会主义现代化国家、实现中华民族伟大复兴的中国梦提供有力法治保障，并对当前和今后一个时期推进全面依法治国的重点工作提出了“十一个坚持”的要求，具有很强的政治性、思想性、理论性，为坚定不移走中国特色社会主义法治道路作出了顶层设计、提供了根本遵循，全党全国全军要切实在全面依法治国各项工作中加以落实。
	走什么样的法治道路、建设什么样的法治体系，是由一个国家的基本国情决定的。独特的法治传统、独特的国情、独特的现实问题，决定了我国的法治建设必定要走自己的路。习主席指出：“全面推进依法治国，必须走对路。如果路走错了，南辕北辙了，那再提什么要求和举措也都没有意义了。”中国特色社会主义法治道路，是我国社会主义法治建设成就和经验的集中体现，是唯一正确的道路。在坚定不移走中国特色社会主义法治道路这个根本问题上，我们要树立自信、保持定力。
	“奉法者强则国强，奉法者弱则国弱”。党的十八大以来，以习近平同志为核心的党中央从关系党和国家前途命运、长治久安的战略全局高度来定位法治、布局法治、厉行法治，围绕为什么推进依法治国、如何推进依法治国、建设什么样的法治国家等一系列重大问题，在理论和实践上进行了崭新的创造性建设，推动我国社会主义法治建设发生历史性变革、取得历史性成就，党对全面依法治国的领导更加坚强有力，全面依法治国总体格局基本形成，全面依法治国实践取得重大进展。实践充分证明，正是有习主席的掌舵领航，有习近平法治思想的科学指导，法治中国建设才有精神上的主心骨、理论上的定盘星、行动上的指南针，才能在时代大潮中锚定航向、把握主动，开启全面依法治国新时代。
	中国特色社会主义实践向前推进一步，法治建设就要跟进一步。“十四五”时期我国将进入新发展阶段，这是全面建设社会主义现代化国家、向第二个百年奋斗目标进军的阶段，在我国发展进程中具有里程碑意义。在新征程上推进全面依法治国，要坚持党对全面依法治国的领导；坚持以人民为中心；坚持中国特色社会主义法治道路；坚持依宪治国、依宪执政；坚持在法治轨道上推进国家治理体系和治理能力现代化；坚持建设中国特色社会主义法治体系；坚持依法治国、依法执政、依法行政共同推进，法治国家、法治政府、法治社会一体建设；坚持全面推进科学立法、严格执法、公正司法、全民守法；坚持统筹推进国内法治和涉外法治；坚持建设德才兼备的高素质法治工作队伍；坚持抓住领导干部这个“关键少数”。习主席凝练概括的“十一个坚持”，深刻回答了全面依法治国的政治方向、重要地位、工作布局、重点任务、重大关系、重要保障等一系列带有方向性、根本性、全局性的重大问题，构成了一个系统完备、逻辑严密、内在统一的科学思想体系，既是重大工作部署，又是重大战略思想，必须深入学习领会，抓好贯彻落实。
	一流的军队，必然有一流的法治；建设一流军队，需要一流的法治保障。全军要深入学习贯彻习近平法治思想和党的十九届五中全会精神，准确把握“十一个坚持”的丰富内涵、吃透基本精神、把握核心要义、明确工作要求，切实用以武装头脑、统一思想、引领行动；要强化法治信仰和法治思维，加快构建中国特色军事法治体系，加快推动治军方式根本性转变；要增强宪法意识，弘扬宪法精神，做宪法的忠实崇尚者、自觉遵守者、坚定捍卫者；要加强同国家立法工作的衔接，突出加强备战急需、改革急用、官兵急盼的军事法规制度建设；要坚持严字当头，强化执纪执法监督，严肃追责问责，努力把全面依法治军、全面从严治军提高到一个新水平。"
望海楼：全面依法治国的指导思想,2020-11-20,"
